doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2
10.1039/c5py01995h,TPD,*c1ccc(-c2ccc(-c3sc(-c4sc(*)c5c4C(=O)N(C)C5=O)c4c3C(=O)N(C)C4=O)s2)s1,1,0.0,1,0.0,0.35,-3.99,-5.8,TPD2T-o-alkyl-BT,*c1ccc(-c2ccc(-c3sc(-c4sc(-c5sc(-c6cc(C)c(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)cc3C)s2)s1,1,0.0,1,0.0,0.91,-3.79,-5.49
10.1039/c5py01995h,TPD2T-BT,*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5sc(-c6ccc(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,0.47,-3.79,-5.52,TPD2T-i-alkyl-BT,*c1ccc(-c2ccc(-c3cc(C)c(-c4sc(-c5sc(-c6sc(*)cc6C)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,1.4,-3.72,-5.49
10.1039/c5py01995h,TPD2T-BT,*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5sc(-c6ccc(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,0.47,-3.79,-5.52,TPD2T-o-alkyl-BT,*c1ccc(-c2ccc(-c3sc(-c4sc(-c5sc(-c6cc(C)c(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)cc3C)s2)s1,1,0.0,1,0.0,0.91,-3.79,-5.49
10.1039/c5py01995h,TPD2T-i-alkyl-BT,*c1ccc(-c2ccc(-c3cc(C)c(-c4sc(-c5sc(-c6sc(*)cc6C)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,1.4,-3.72,-5.49,TPD2T-o-alkyl-BT,*c1ccc(-c2ccc(-c3sc(-c4sc(-c5sc(-c6cc(C)c(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)cc3C)s2)s1,1,0.0,1,0.0,0.91,-3.79,-5.49
10.1039/c5ra28140g,"4,10-TPTQ-BT(PTPQ2T)",*c1ccc(-c2ccc(-c3cc4c(=O)n(C)c5cc6c7sc(*)cc7c(=O)n(C)c6cc5c4s3)s2)s1,1,0.0,1,0.0,0.027,-3.41,-5.43,PIQP2T,*c1ccc2c(c1)c(=O)n(C)c1cc3c4ccc(-c5ccc(-c6ccc(*)s6)s5)cc4c(=O)n(C)c3cc21,1,0.0,1,0.0,0.037,-3.13,-5.38
10.1039/c6cc09684k,P-BNBP-TVT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4ccc(/C=C/c5ccc(*)s5)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.015,0.32,-3.47,-5.69,P-BNBP-BT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4ccc(-c5ccc(*)s5)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.0014,0.05,-3.52,-5.76
10.1039/c6cc09684k,P-BNBP-TVT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4ccc(/C=C/c5ccc(*)s5)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.015,0.32,-3.47,-5.69,P-BNBP-fBT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4cc(F)c(-c5sc(*)cc5F)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.0,0.02,-3.62,-5.87
10.1039/c6cc09684k,P-BNBP-BT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4ccc(-c5ccc(*)s5)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.0014,0.05,-3.52,-5.76,P-BNBP-fBT,*c1cc2c3[n+](c1)[B-](F)(F)N(C)c1cc(-c4cc(F)c(-c5sc(*)cc5F)s4)c[n+](c1-3)[B-](F)(F)N2C,1,0.0,1,0.0,0.02,-3.62,-5.87
10.1039/c6py00143b,Pyranopyran-dione(P66TET-4OD),*/C=C/c1sc(-c2cc3c(=O)oc(-c4cc(C)c(*)s4)cc3c(=O)o2)cc1C,1,0.0,1,0.51,0.0,-3.52,-5.8,P66TET-3OD,*/C=C/c1cc(C)c(-c2cc3c(=O)oc(-c4sc(*)cc4C)cc3c(=O)o2)s1,1,0.0,1,0.34,0.0,-3.45,-5.74
10.1039/c6py01922f,PD23TFPE(S-F),*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(/C=C/c6ccc(*)c(F)c6F)c(F)c5F)s4)=C3C(=O)N2C)s1,1,0.0,1,0.02,0.06,-3.53,-5.6,PD26TFPE,*c1cc(F)c(/C=C/c2c(F)cc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(*)s6)=C5C(=O)N4C)s3)cc2F)c(F)c1,1,0.0,1,0.09,0.26,-3.59,-5.58
