polymer,span_L,n_repeats,oligomer,oligomer_cp_mapped,cp_span_measured,cp_span_expected,span_ok,status
*/C=C/c1sc(-c2ccc(-c3c(=O)n4c5ccc(Cl)cc5c5c(-c6ccc(-c7cc(C)c(*)s7)s6)c(=O)n6c7ccc(Cl)cc7c3c6c54)s2)cc1C,19,1,C=Cc1sc(-c2ccc(-c3c(=O)n4c5ccc(Cl)cc5c5c(-c6ccc(-c7cc(C)cs7)s6)c(=O)n6c7ccc(Cl)cc7c3c6c54)s2)cc1C,Cc1cc(-c2ccc(-c3c(=O)n4c5ccc(Cl)cc5c5c(-c6ccc(-c7cc(C)[cH:2]s7)s6)c(=O)n6c7ccc(Cl)cc7c3c6c54)s2)sc1C=[CH2:1],19,19,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)N(C)c2cc(-c3cc(F)c(-c4sc(*)cc4F)s3)ccc21,15,1,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3cc(F)c(-c4s[cH:2]cc4F)s3)cc21,15,15,True,ok
*c1cc(F)c(-c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(*)[se]6)=C5C(=O)N4C)[se]3)cc2F)s1,15,1,CN1C(=O)C2=C(c3ccc(-c4cc(F)c(-c5sccc5F)s4)[se]3)N(C)C(=O)C2=C1c1ccc[se]1,CN1C(=O)C2=C(c3cc[cH:2][se]3)N(C)C(=O)C2=C1c1ccc(-c2cc(F)c(-c3s[cH:1]cc3F)s2)[se]1,15,15,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(F)c(-c6sc(*)cc6F)s5)o4)=C3C(=O)N2C)o1,15,1,CN1C(=O)C2=C(c3ccc(-c4cc(F)c(-c5sccc5F)s4)o3)N(C)C(=O)C2=C1c1ccco1,CN1C(=O)C2=C(c3cc[cH:1]o3)N(C)C(=O)C2=C1c1ccc(-c2cc(F)c(-c3s[cH:2]cc3F)s2)o1,15,15,True,ok
*c1ccc2c(c1)C(C)(C)c1cc(-c3ccc4c(c3F)N(C)C(=O)/C4=C3/C(=O)Oc4cc5c(cc43)OC(=O)/C5=C3/C(=O)N(C)c4c3ccc(*)c4F)ccc1-2,22,1,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3c2ccc(-c2ccc4c(c2)C(C)(C)c2ccccc2-4)c3F)c2cccc(F)c21,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3c2cc[cH:2]c3F)c2ccc(-c3ccc4c(c3)C(C)(C)c3c[cH:1]ccc3-4)c(F)c21,22,22,True,ok
*c1ccc(-c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N6C)C(=O)N4C)s2)s1,11,2,CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6ccc(-c7cc8c9c(c(-c%10ccc(-c%11cccs%11)s%10)cc%10c9c7C(=O)N%10C)C(=O)N8C)s6)s5)cc1c24)C(=O)N3C,CN1C(=O)c2c(-c3ccc(-c4ccc(-c5cc6c7c([cH:2]cc8c7c5C(=O)N8C)C(=O)N6C)s4)s3)cc3c4c(c(-c5ccc(-c6cc[cH:1]s6)s5)cc1c24)C(=O)N3C,23,23,True,ok
*c1ccc(/C=C/c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N6C)C(=O)N4C)s2)s1,13,1,CN1C(=O)c2ccc3c4c(c(-c5ccc(/C=C/c6cccs6)s5)cc1c24)C(=O)N3C,CN1C(=O)c2c(-c3ccc(/C=C/c4cc[cH:1]s4)s3)cc3c4c([cH:2]cc1c24)C(=O)N3C,13,13,True,ok
*c1ccc(-c2ccc(-c3ccc(-c4cc5c6c(c(*)cc7c6c4C(=O)N7C)C(=O)N5C)s3)c3nsnc23)s1,15,1,CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6ccc(-c7cccs7)c7nsnc67)s5)cc1c24)C(=O)N3C,CN1C(=O)c2c(-c3ccc(-c4ccc(-c5cc[cH:1]s5)c5nsnc45)s3)cc3c4c([cH:2]cc1c24)C(=O)N3C,15,15,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(*)o5)o4)=C3C(=O)N2C)o1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccco9)o8)=C7C(=O)N6C)o5)o4)o3)N(C)C(=O)C2=C1c1ccco1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:2]o4)o3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:1]o6)=C5C(=O)N4C)o3)o2)o1,25,25,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(*)s5)o4)=C3C(=O)N2C)o1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9cccs9)o8)=C7C(=O)N6C)o5)s4)o3)N(C)C(=O)C2=C1c1ccco1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:2]s4)o3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:1]o6)=C5C(=O)N4C)o3)s2)o1,25,25,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(*)[se]5)o4)=C3C(=O)N2C)o1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccc[se]9)o8)=C7C(=O)N6C)o5)[se]4)o3)N(C)C(=O)C2=C1c1ccco1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:2][se]4)o3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:1]o6)=C5C(=O)N4C)o3)[se]2)o1,25,25,True,ok
*c1ccc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(*)s5)=C4C(=O)N3C)s2)o1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccco9)s8)=C7C(=O)N6C)s5)o4)s3)N(C)C(=O)C2=C1c1cccs1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:1]o4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:2]s6)=C5C(=O)N4C)s3)o2)s1,25,25,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(*)[se]5)s4)=C3C(=O)N2C)s1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccc[se]9)s8)=C7C(=O)N6C)s5)[se]4)s3)N(C)C(=O)C2=C1c1cccs1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:2][se]4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:1]s6)=C5C(=O)N4C)s3)[se]2)s1,25,25,True,ok
*c1ccc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(*)[se]5)=C4C(=O)N3C)[se]2)o1,12,2,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(C)C(c8ccc(-c9ccco9)[se]8)=C7C(=O)N6C)[se]5)o4)[se]3)N(C)C(=O)C2=C1c1ccc[se]1,CN1C(=O)C2=C(c3ccc(-c4cc[cH:1]o4)[se]3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc[cH:2][se]6)=C5C(=O)N4C)[se]3)o2)[se]1,25,25,True,ok
